epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,222.067,1.6386,1.13625,1.00186,0.53773,0.35113,0.35618,0.19216,1.61265,1.21111,1.05163,0.000220089,0.000220089,0.000220089
83,224.914,1.60475,1.19551,1.01246,0.53773,0.35113,0.35618,0.19216,1.61265,1.21111,1.05163,0.00020909,0.00020909,0.00020909
84,227.588,1.56137,1.27439,1.00862,0.57582,0.35371,0.36349,0.19827,1.6183,1.22763,1.05629,0.000198091,0.000198091,0.000198091
85,230.278,1.58558,1.00785,1.04767,0.57582,0.35371,0.36349,0.19827,1.6183,1.22763,1.05629,0.000187092,0.000187092,0.000187092
86,232.973,1.52783,1.16988,1.05734,0.60181,0.37591,0.37309,0.19822,1.61489,1.22303,1.05872,0.000176094,0.000176094,0.000176094
87,235.631,1.50935,1.15319,1.01318,0.60181,0.37591,0.37309,0.19822,1.61489,1.22303,1.05872,0.000165095,0.000165095,0.000165095
88,238.102,1.50557,1.11271,1.01104,0.60002,0.37558,0.37691,0.20272,1.60479,1.2249,1.0571,0.000154096,0.000154096,0.000154096
89,241.17,1.56566,1.20429,1.03124,0.60002,0.37558,0.37691,0.20272,1.60479,1.2249,1.0571,0.000143097,0.000143097,0.000143097
90,243.785,1.54253,1.11427,1.00378,0.61331,0.41568,0.3791,0.20527,1.60225,1.21643,1.05714,0.000132098,0.000132098,0.000132098
91,246.496,1.57336,1.15874,1.02832,0.61331,0.41568,0.3791,0.20527,1.60225,1.21643,1.05714,0.000121099,0.000121099,0.000121099
92,250.049,1.56974,1.15091,1.02302,0.60846,0.45096,0.38304,0.20827,1.602,1.16866,1.05829,0.0001101,0.0001101,0.0001101
93,252.595,1.57013,1.13761,1.05479,0.60846,0.45096,0.38304,0.20827,1.602,1.16866,1.05829,9.91012e-05,9.91012e-05,9.91012e-05
94,255.243,1.59783,1.11413,1.06429,0.61433,0.47004,0.39098,0.21014,1.6006,1.12674,1.05975,8.81023e-05,8.81023e-05,8.81023e-05
95,257.869,1.61911,1.18377,1.04805,0.61433,0.47004,0.39098,0.21014,1.6006,1.12674,1.05975,7.71034e-05,7.71034e-05,7.71034e-05
96,260.311,1.52181,1.07874,1.0313,0.6065,0.47344,0.39086,0.21027,1.60099,1.10143,1.06131,6.61045e-05,6.61045e-05,6.61045e-05
97,262.483,1.54458,1.08111,1.03713,0.6065,0.47344,0.39086,0.21027,1.60099,1.10143,1.06131,5.51056e-05,5.51056e-05,5.51056e-05
98,265.066,1.52822,1.19111,1.05509,0.61496,0.48068,0.39557,0.21372,1.59933,1.08406,1.06118,4.41067e-05,4.41067e-05,4.41067e-05
99,267.805,1.591,1.06523,1.03441,0.61496,0.48068,0.39557,0.21372,1.59933,1.08406,1.06118,3.31078e-05,3.31078e-05,3.31078e-05
100,270.834,1.58049,1.06093,1.03104,0.61962,0.47864,0.39942,0.21746,1.59514,1.0744,1.06066,2.21089e-05,2.21089e-05,2.21089e-05
